Alert Time: [2025-12-29 12:40:00], Logged Time: [2025-12-29 18:40:02] | Action: SELL | Entry: 25719.5625 | SL: 25735.2303509114 | TP: 25715.6455372721
Alert Time: [2025-12-29 12:40:00], Logged Time: [2025-12-29 18:40:17] | Action: EXIT | Entry: 25719.5625 | SL: 25735.2303509114 | TP: 25715.6455372721
Alert Time: [2025-12-29 12:40:00], Logged Time: [2025-12-29 18:40:22] | Action: EXIT | Entry: 25719.5625 | SL: 25735.2303509114 | TP: 25715.6455372721
Alert Time: [2025-12-29 12:40:00], Logged Time: [2025-12-29 18:40:28] | Action: EXIT | Entry: 25719.5625 | SL: 25735.2303509114 | TP: 25715.6455372721
Alert Time: [2025-12-29 12:40:00], Logged Time: [2025-12-29 18:40:33] | Action: EXIT | Entry: 25719.5625 | SL: 25735.2303509114 | TP: 25715.6455372721
Alert Time: [2025-12-29 12:41:00], Logged Time: [2025-12-29 18:41:01] | Action: SELL | Entry: 25717.5 | SL: 25733.1695462377 | TP: 25713.5826134406
Alert Time: [2025-12-29 12:41:00], Logged Time: [2025-12-29 18:41:26] | Action: EXIT | Entry: 25717.5 | SL: 25733.1695462377 | TP: 25713.5826134406
Alert Time: [2025-12-29 12:41:00], Logged Time: [2025-12-29 18:41:31] | Action: EXIT | Entry: 25717.5 | SL: 25733.1695462377 | TP: 25713.5826134406
Alert Time: [2025-12-29 12:41:00], Logged Time: [2025-12-29 18:41:37] | Action: EXIT | Entry: 25717.5 | SL: 25733.1695462377 | TP: 25713.5826134406
Alert Time: [2025-12-29 12:41:00], Logged Time: [2025-12-29 18:41:42] | Action: EXIT | Entry: 25717.5 | SL: 25733.1695462377 | TP: 25713.5826134406
Alert Time: [2025-12-29 12:53:00], Logged Time: [2025-12-29 18:53:00] | Action: BUY | Entry: 25701.4375 | SL: 25687.3891982272 | TP: 25704.9495754432
Alert Time: [2025-12-29 12:54:00], Logged Time: [2025-12-29 19:02:41] | Action: EXIT | Entry: 25701.25 | SL: 25687.6694340682 | TP: 25704.645141483
Alert Time: [2025-12-29 12:54:00], Logged Time: [2025-12-29 19:02:46] | Action: EXIT | Entry: 25701.25 | SL: 25687.6694340682 | TP: 25704.645141483
Alert Time: [2025-12-29 12:54:00], Logged Time: [2025-12-29 19:02:51] | Action: EXIT | Entry: 25701.25 | SL: 25687.6694340682 | TP: 25704.645141483
Alert Time: [2025-12-29 12:54:00], Logged Time: [2025-12-29 19:02:56] | Action: EXIT | Entry: 25701.25 | SL: 25687.6694340682 | TP: 25704.645141483
Alert Time: [2025-12-29 13:06:00], Logged Time: [2025-12-29 19:06:01] | Action: BUY | Entry: 25690.6875 | SL: 25677.6791388086 | TP: 25693.9395902979
Alert Time: [2025-12-29 13:07:00], Logged Time: [2025-12-29 19:20:07] | Action: EXIT | Entry: 25692.3125 | SL: 25679.6662012083 | TP: 25695.4740746979
Alert Time: [2025-12-29 13:07:00], Logged Time: [2025-12-29 19:20:12] | Action: EXIT | Entry: 25692.3125 | SL: 25679.6662012083 | TP: 25695.4740746979
Alert Time: [2025-12-29 13:07:00], Logged Time: [2025-12-29 19:20:17] | Action: EXIT | Entry: 25692.3125 | SL: 25679.6662012083 | TP: 25695.4740746979
Alert Time: [2025-12-29 13:07:00], Logged Time: [2025-12-29 19:20:23] | Action: EXIT | Entry: 25692.3125 | SL: 25679.6662012083 | TP: 25695.4740746979
Alert Time: [2025-12-29 14:09:00], Logged Time: [2025-12-29 20:09:00] | Action: BUY | Entry: 25752.875 | SL: 25738.4143268021 | TP: 25756.4901682995
Alert Time: [2025-12-29 14:10:00], Logged Time: [2025-12-29 20:14:57] | Action: EXIT | Entry: 25753.5 | SL: 25739.3222320305 | TP: 25757.0444419924
Alert Time: [2025-12-29 14:10:00], Logged Time: [2025-12-29 20:15:05] | Action: EXIT | Entry: 25753.5 | SL: 25739.3222320305 | TP: 25757.0444419924
Alert Time: [2025-12-29 14:10:00], Logged Time: [2025-12-29 20:15:11] | Action: EXIT | Entry: 25753.5 | SL: 25739.3222320305 | TP: 25757.0444419924
Alert Time: [2025-12-29 14:10:00], Logged Time: [2025-12-29 20:15:16] | Action: EXIT | Entry: 25753.5 | SL: 25739.3222320305 | TP: 25757.0444419924
Alert Time: [2025-12-29 14:32:00], Logged Time: [2025-12-29 20:32:00] | Action: EXIT | Entry: 25754.0625 | SL: 25743.0631823049 | TP: 25756.8123294238
Alert Time: [2025-12-29 14:32:00], Logged Time: [2025-12-29 20:32:00] | Action: BUY | Entry: 25754.0625 | SL: 25743.0631823049 | TP: 25756.8123294238
Alert Time: [2025-12-29 14:32:00], Logged Time: [2025-12-29 20:32:05] | Action: EXIT | Entry: 25754.0625 | SL: 25743.0631823049 | TP: 25756.8123294238
Alert Time: [2025-12-29 14:32:00], Logged Time: [2025-12-29 20:32:11] | Action: EXIT | Entry: 25754.0625 | SL: 25743.0631823049 | TP: 25756.8123294238
Alert Time: [2025-12-29 14:32:00], Logged Time: [2025-12-29 20:32:16] | Action: EXIT | Entry: 25754.0625 | SL: 25743.0631823049 | TP: 25756.8123294238
Alert Time: [2025-12-29 14:33:00], Logged Time: [2025-12-29 20:33:01] | Action: BUY | Entry: 25757.0625 | SL: 25746.0667035276 | TP: 25759.8114491181
Alert Time: [2025-12-29 14:33:00], Logged Time: [2025-12-29 20:38:43] | Action: EXIT | Entry: 25757.0625 | SL: 25746.0667035276 | TP: 25759.8114491181
Alert Time: [2025-12-29 14:33:00], Logged Time: [2025-12-29 20:38:49] | Action: EXIT | Entry: 25757.0625 | SL: 25746.0667035276 | TP: 25759.8114491181
Alert Time: [2025-12-29 14:33:00], Logged Time: [2025-12-29 20:38:54] | Action: EXIT | Entry: 25757.0625 | SL: 25746.0667035276 | TP: 25759.8114491181
Alert Time: [2025-12-29 14:33:00], Logged Time: [2025-12-29 20:38:59] | Action: EXIT | Entry: 25757.0625 | SL: 25746.0667035276 | TP: 25759.8114491181
Alert Time: [2025-12-29 14:42:00], Logged Time: [2025-12-29 20:42:00] | Action: BUY | Entry: 25747.125 | SL: 25736.5916948746 | TP: 25749.7583262813
Alert Time: [2025-12-29 14:43:00], Logged Time: [2025-12-29 20:44:05] | Action: EXIT | Entry: 25747.25 | SL: 25737.0762166693 | TP: 25749.7934458327
Alert Time: [2025-12-29 14:43:00], Logged Time: [2025-12-29 20:44:10] | Action: EXIT | Entry: 25747.25 | SL: 25737.0762166693 | TP: 25749.7934458327
Alert Time: [2025-12-29 14:43:00], Logged Time: [2025-12-29 20:44:16] | Action: EXIT | Entry: 25747.25 | SL: 25737.0762166693 | TP: 25749.7934458327
Alert Time: [2025-12-29 14:43:00], Logged Time: [2025-12-29 20:44:21] | Action: EXIT | Entry: 25747.25 | SL: 25737.0762166693 | TP: 25749.7934458327
Alert Time: [2025-12-29 14:52:00], Logged Time: [2025-12-29 20:52:00] | Action: SELL | Entry: 25746.375 | SL: 25758.2478411535 | TP: 25743.4067897116
Alert Time: [2025-12-29 14:52:00], Logged Time: [2025-12-29 20:52:20] | Action: EXIT | Entry: 25746.375 | SL: 25758.2478411535 | TP: 25743.4067897116
Alert Time: [2025-12-29 14:52:00], Logged Time: [2025-12-29 20:52:25] | Action: EXIT | Entry: 25746.375 | SL: 25758.2478411535 | TP: 25743.4067897116
Alert Time: [2025-12-29 14:52:00], Logged Time: [2025-12-29 20:52:31] | Action: EXIT | Entry: 25746.375 | SL: 25758.2478411535 | TP: 25743.4067897116
Alert Time: [2025-12-29 14:52:00], Logged Time: [2025-12-29 20:52:36] | Action: EXIT | Entry: 25746.375 | SL: 25758.2478411535 | TP: 25743.4067897116
Alert Time: [2025-12-29 14:53:00], Logged Time: [2025-12-29 20:53:00] | Action: SELL | Entry: 25743.5625 | SL: 25755.5489130112 | TP: 25740.5658967472
Alert Time: [2025-12-29 14:53:00], Logged Time: [2025-12-29 20:53:32] | Action: EXIT | Entry: 25743.5625 | SL: 25755.5489130112 | TP: 25740.5658967472
Alert Time: [2025-12-29 14:53:00], Logged Time: [2025-12-29 20:53:38] | Action: EXIT | Entry: 25743.5625 | SL: 25755.5489130112 | TP: 25740.5658967472
Alert Time: [2025-12-29 14:53:00], Logged Time: [2025-12-29 20:53:43] | Action: EXIT | Entry: 25743.5625 | SL: 25755.5489130112 | TP: 25740.5658967472
Alert Time: [2025-12-29 14:53:00], Logged Time: [2025-12-29 20:53:48] | Action: EXIT | Entry: 25743.5625 | SL: 25755.5489130112 | TP: 25740.5658967472
Alert Time: [2025-12-29 15:09:01], Logged Time: [2025-12-29 21:09:01] | Action: SELL | Entry: 25736.0 | SL: 25750.1836301594 | TP: 25732.4540924601
Alert Time: [2025-12-29 15:32:00], Logged Time: [2025-12-29 21:33:45] | Action: EXIT | Entry: 25741.1875 | SL: 25747.6781649706 | TP: 25739.5648337573
Alert Time: [2025-12-29 15:32:00], Logged Time: [2025-12-29 21:33:50] | Action: EXIT | Entry: 25741.1875 | SL: 25747.6781649706 | TP: 25739.5648337573
Alert Time: [2025-12-29 15:32:00], Logged Time: [2025-12-29 21:33:56] | Action: EXIT | Entry: 25741.1875 | SL: 25747.6781649706 | TP: 25739.5648337573
Alert Time: [2025-12-29 15:32:00], Logged Time: [2025-12-29 21:34:01] | Action: EXIT | Entry: 25741.1875 | SL: 25747.6781649706 | TP: 25739.5648337573
Alert Time: [2025-12-29 15:45:00], Logged Time: [2025-12-29 21:45:00] | Action: SELL | Entry: 25746.4375 | SL: 25751.9289128977 | TP: 25745.0646467756
Alert Time: [2025-12-29 15:45:00], Logged Time: [2025-12-29 21:45:43] | Action: EXIT | Entry: 25746.4375 | SL: 25751.9289128977 | TP: 25745.0646467756
Alert Time: [2025-12-29 15:45:00], Logged Time: [2025-12-29 21:45:48] | Action: EXIT | Entry: 25746.4375 | SL: 25751.9289128977 | TP: 25745.0646467756
Alert Time: [2025-12-29 15:45:00], Logged Time: [2025-12-29 21:45:53] | Action: EXIT | Entry: 25746.4375 | SL: 25751.9289128977 | TP: 25745.0646467756
Alert Time: [2025-12-29 15:45:00], Logged Time: [2025-12-29 21:45:59] | Action: EXIT | Entry: 25746.4375 | SL: 25751.9289128977 | TP: 25745.0646467756
Alert Time: [2025-12-29 15:46:01], Logged Time: [2025-12-29 21:46:01] | Action: SELL | Entry: 25746.0625 | SL: 25751.4116691193 | TP: 25744.7252077202
Alert Time: [2025-12-29 15:46:01], Logged Time: [2025-12-29 21:46:16] | Action: EXIT | Entry: 25746.0625 | SL: 25751.4116691193 | TP: 25744.7252077202
Alert Time: [2025-12-29 15:46:01], Logged Time: [2025-12-29 21:46:21] | Action: EXIT | Entry: 25746.0625 | SL: 25751.4116691193 | TP: 25744.7252077202
Alert Time: [2025-12-29 15:46:01], Logged Time: [2025-12-29 21:46:26] | Action: EXIT | Entry: 25746.0625 | SL: 25751.4116691193 | TP: 25744.7252077202
Alert Time: [2025-12-29 15:46:01], Logged Time: [2025-12-29 21:46:32] | Action: EXIT | Entry: 25746.0625 | SL: 25751.4116691193 | TP: 25744.7252077202
Alert Time: [2025-12-29 17:09:01], Logged Time: [2025-12-29 23:09:01] | Action: BUY | Entry: 25733.1875 | SL: 25725.8239843332 | TP: 25735.6420052223
Alert Time: [2025-12-29 17:09:01], Logged Time: [2025-12-29 23:09:36] | Action: EXIT | Entry: 25733.1875 | SL: 25725.8239843332 | TP: 25735.6420052223
Alert Time: [2025-12-29 17:10:00], Logged Time: [2025-12-29 23:10:00] | Action: BUY | Entry: 25734.25 | SL: 25727.0055842555 | TP: 25736.6648052482
Alert Time: [2025-12-29 17:10:00], Logged Time: [2025-12-29 23:14:21] | Action: EXIT | Entry: 25734.25 | SL: 25727.0055842555 | TP: 25736.6648052482
Alert Time: [2025-12-29 17:22:01], Logged Time: [2025-12-29 23:22:01] | Action: BUY | Entry: 25718.375 | SL: 25710.1050290892 | TP: 25721.1316569703
Alert Time: [2025-12-29 17:22:01], Logged Time: [2025-12-29 23:22:01] | Action: EXIT | Entry: 25718.375 | SL: 25710.1050290892 | TP: 25721.1316569703
Alert Time: [2025-12-29 17:23:02], Logged Time: [2025-12-29 23:23:02] | Action: BUY | Entry: 25720.625 | SL: 25712.4847105343 | TP: 25723.3384298219
Alert Time: [2025-12-29 17:26:00], Logged Time: [2025-12-29 23:26:00] | Action: SELL | Entry: 25720.6875 | SL: 25728.2789801743 | TP: 25718.1570066086
Alert Time: [2025-12-29 17:26:00], Logged Time: [2025-12-29 23:26:05] | Action: EXIT | Entry: 25720.6875 | SL: 25728.2789801743 | TP: 25718.1570066086
Alert Time: [2025-12-29 17:27:00], Logged Time: [2025-12-29 23:27:00] | Action: SELL | Entry: 25719.25 | SL: 25726.7098702928 | TP: 25716.7633765691
Alert Time: [2025-12-29 17:27:00], Logged Time: [2025-12-29 23:27:17] | Action: EXIT | Entry: 25719.25 | SL: 25726.7098702928 | TP: 25716.7633765691
Alert Time: [2025-12-29 17:39:04], Logged Time: [2025-12-29 23:39:04] | Action: SELL | Entry: 25720.8125 | SL: 25728.1097550368 | TP: 25718.3800816544
Alert Time: [2025-12-29 17:39:04], Logged Time: [2025-12-29 23:39:25] | Action: EXIT | Entry: 25720.8125 | SL: 25728.1097550368 | TP: 25718.3800816544
Alert Time: [2025-12-29 17:40:00], Logged Time: [2025-12-29 23:40:00] | Action: SELL | Entry: 25720.0 | SL: 25727.231379677 | TP: 25717.5895401077
Alert Time: [2025-12-29 17:40:00], Logged Time: [2025-12-29 23:40:16] | Action: EXIT | Entry: 25720.0 | SL: 25727.231379677 | TP: 25717.5895401077
Alert Time: [2025-12-29 18:14:00], Logged Time: [2025-12-30 00:14:01] | Action: SELL | Entry: 25712.125 | SL: 25717.8414244025 | TP: 25710.2195251992
Alert Time: [2025-12-29 18:14:00], Logged Time: [2025-12-30 00:21:00] | Action: EXIT | Entry: 25712.125 | SL: 25717.8414244025 | TP: 25710.2195251992
Alert Time: [2025-12-29 18:28:00], Logged Time: [2025-12-30 00:28:00] | Action: SELL | Entry: 25720.5 | SL: 25725.7567485545 | TP: 25718.7477504818
Alert Time: [2025-12-29 18:28:00], Logged Time: [2025-12-30 00:31:03] | Action: EXIT | Entry: 25720.5 | SL: 25725.7567485545 | TP: 25718.7477504818
Alert Time: [2025-12-29 18:38:00], Logged Time: [2025-12-30 00:38:01] | Action: BUY | Entry: 25714.875 | SL: 25708.8997788734 | TP: 25716.8667403755
Alert Time: [2025-12-29 18:38:00], Logged Time: [2025-12-30 00:42:21] | Action: EXIT | Entry: 25714.875 | SL: 25708.8997788734 | TP: 25716.8667403755
Alert Time: [2025-12-29 19:03:02], Logged Time: [2025-12-30 01:03:02] | Action: BUY | Entry: 25705.9375 | SL: 25697.5254740683 | TP: 25708.7415086439
Alert Time: [2025-12-29 19:04:00], Logged Time: [2025-12-30 01:05:00] | Action: EXIT | Entry: 25705.75 | SL: 25697.5809387875 | TP: 25708.4730204042
Alert Time: [2025-12-29 19:20:00], Logged Time: [2025-12-30 01:20:00] | Action: BUY | Entry: 25714.1875 | SL: 25707.5787418919 | TP: 25716.3904193694
Alert Time: [2025-12-29 19:20:00], Logged Time: [2025-12-30 01:21:40] | Action: EXIT | Entry: 25714.1875 | SL: 25707.5787418919 | TP: 25716.3904193694
Alert Time: [2025-12-29 19:29:01], Logged Time: [2025-12-30 01:29:01] | Action: BUY | Entry: 25708.375 | SL: 25701.7864490383 | TP: 25710.5711836539
Alert Time: [2025-12-29 19:29:01], Logged Time: [2025-12-30 01:31:00] | Action: EXIT | Entry: 25708.375 | SL: 25701.7864490383 | TP: 25710.5711836539
Alert Time: [2025-12-29 19:37:00], Logged Time: [2025-12-30 01:37:00] | Action: BUY | Entry: 25709.0625 | SL: 25702.8753334834 | TP: 25711.1248888389
Alert Time: [2025-12-29 19:37:00], Logged Time: [2025-12-30 01:37:05] | Action: EXIT | Entry: 25709.0625 | SL: 25702.8753334834 | TP: 25711.1248888389
Alert Time: [2025-12-29 19:48:00], Logged Time: [2025-12-30 01:48:01] | Action: SELL | Entry: 25713.625 | SL: 25720.0988226312 | TP: 25711.4670591229
Alert Time: [2025-12-29 19:48:00], Logged Time: [2025-12-30 01:48:40] | Action: EXIT | Entry: 25713.625 | SL: 25720.0988226312 | TP: 25711.4670591229
Alert Time: [2025-12-29 19:49:01], Logged Time: [2025-12-30 01:49:01] | Action: SELL | Entry: 25712.4375 | SL: 25719.0649781576 | TP: 25710.2283406141
Alert Time: [2025-12-29 19:49:01], Logged Time: [2025-12-30 01:49:28] | Action: EXIT | Entry: 25712.4375 | SL: 25719.0649781576 | TP: 25710.2283406141
Alert Time: [2025-12-29 19:54:00], Logged Time: [2025-12-30 01:54:00] | Action: BUY | Entry: 25709.6875 | SL: 25703.1152512116 | TP: 25711.8782495961
Alert Time: [2025-12-29 19:54:00], Logged Time: [2025-12-30 01:57:08] | Action: EXIT | Entry: 25709.6875 | SL: 25703.1152512116 | TP: 25711.8782495961
Alert Time: [2025-12-29 20:08:00], Logged Time: [2025-12-30 02:08:01] | Action: BUY | Entry: 25724.625 | SL: 25717.3340064709 | TP: 25727.0553311764
Alert Time: [2025-12-29 20:08:00], Logged Time: [2025-12-30 02:08:01] | Action: EXIT | Entry: 25724.625 | SL: 25717.3340064709 | TP: 25727.0553311764
Alert Time: [2025-12-29 20:09:00], Logged Time: [2025-12-30 02:09:01] | Action: BUY | Entry: 25726.3125 | SL: 25718.9355667284 | TP: 25728.7714777572
Alert Time: [2025-12-29 20:09:00], Logged Time: [2025-12-30 02:12:14] | Action: EXIT | Entry: 25726.3125 | SL: 25718.9355667284 | TP: 25728.7714777572
Alert Time: [2025-12-29 20:18:00], Logged Time: [2025-12-30 02:18:00] | Action: BUY | Entry: 25717.0625 | SL: 25710.299343498 | TP: 25719.3168855007
Alert Time: [2025-12-29 20:18:00], Logged Time: [2025-12-30 02:18:22] | Action: EXIT | Entry: 25717.0625 | SL: 25710.299343498 | TP: 25719.3168855007
Alert Time: [2025-12-29 20:19:00], Logged Time: [2025-12-30 02:19:00] | Action: BUY | Entry: 25719.1875 | SL: 25712.4430339875 | TP: 25721.4356553375
Alert Time: [2025-12-29 20:19:00], Logged Time: [2025-12-30 02:19:00] | Action: EXIT | Entry: 25719.1875 | SL: 25712.4430339875 | TP: 25721.4356553375
