t,o,h,l,c,v
2024-07-17T23:00:00+00:00,20061.5,20067.75,20051.75,20058.5,2681
2024-07-18T00:00:00+00:00,20058,20074.25,20054,20063.5,4452
2024-07-18T01:00:00+00:00,20063.5,20080,20052.5,20070,4895
2024-07-18T02:00:00+00:00,20070.75,20072.25,20055.25,20062,3416
2024-07-18T03:00:00+00:00,20062.25,20064,20025,20051,3774
2024-07-18T04:00:00+00:00,20051.25,20058,20036,20053,2581
2024-07-18T05:00:00+00:00,20052.75,20078.25,20045.5,20075.5,3631
2024-07-18T06:00:00+00:00,20075.5,20162.5,20058,20140.25,17306
2024-07-18T07:00:00+00:00,20141.5,20144.25,20036.25,20099,18635
2024-07-18T08:00:00+00:00,20099,20125.75,20059.5,20125.25,12098
2024-07-18T09:00:00+00:00,20124.75,20128.75,20058.75,20062.25,10179
2024-07-18T10:00:00+00:00,20061.75,20080.75,20018.5,20072.75,12958
2024-07-18T11:00:00+00:00,20073.5,20091.75,20058.75,20088,8717
2024-07-18T12:00:00+00:00,20087.75,20148,20073.5,20145,19057
2024-07-18T13:00:00+00:00,20144.75,20162.5,20019.75,20067.75,111910
2024-07-18T14:00:00+00:00,20068,20107,19893,19989.75,162348
2024-07-18T15:00:00+00:00,19990,20004.75,19785,19797,130613
2024-07-18T16:00:00+00:00,19797.5,19914.25,19773,19913.5,84815
2024-07-18T17:00:00+00:00,19913.5,19946.25,19855,19873.25,76751
2024-07-18T18:00:00+00:00,19873.25,19892.25,19800.5,19846.75,84552
2024-07-18T19:00:00+00:00,19846.25,19961,19758.75,19891.25,140654
2024-07-18T20:00:00+00:00,19891.5,19953.75,19865.25,19934.75,27419
2024-07-18T22:00:00+00:00,19955,19976.75,19936.25,19955.25,8176
2024-07-18T23:00:00+00:00,19955.75,19965.25,19943.5,19945.75,2551
2024-07-19T00:00:00+00:00,19945.75,19965,19935.25,19947.25,4990
2024-07-19T01:00:00+00:00,19948,19962.5,19940.25,19947.5,4522
2024-07-19T02:00:00+00:00,19948,19958.75,19935.75,19952.75,3718
2024-07-19T03:00:00+00:00,19952.5,19958.75,19945.5,19955.75,1596
2024-07-19T04:00:00+00:00,19956,19960,19949.25,19957.25,1283
2024-07-19T05:00:00+00:00,19957.5,19963.25,19948,19962.75,1652
2024-07-19T06:00:00+00:00,19962.75,19979.75,19898,19907.5,7739
2024-07-19T07:00:00+00:00,19908,19908.25,19753.5,19796.75,24810
2024-07-19T08:00:00+00:00,19796.75,19864.25,19785,19840,15116
2024-07-19T09:00:00+00:00,19840.5,19866,19807.5,19850.75,13533
2024-07-19T10:00:00+00:00,19849.75,19907.5,19847.5,19869.5,12613
2024-07-19T11:00:00+00:00,19869.5,19939.25,19863.5,19923.25,15160
2024-07-19T12:00:00+00:00,19923,19944.5,19898.75,19939.5,13936
2024-07-19T13:00:00+00:00,19938.75,19976.5,19835.75,19884,101942
2024-07-19T14:00:00+00:00,19883.75,19917,19774.5,19826.25,117093
2024-07-19T15:00:00+00:00,19826.5,19875.25,19704,19816.75,103269
2024-07-19T16:00:00+00:00,19817.75,19826.25,19686.5,19729.25,78603
2024-07-19T17:00:00+00:00,19729.25,19731.25,19654,19721.5,68897
2024-07-19T18:00:00+00:00,19720.75,19746,19669.75,19720.5,54392
2024-07-19T19:00:00+00:00,19721,19784.5,19685,19711.75,89659
2024-07-19T20:00:00+00:00,19712.25,19738.25,19692.75,19701.5,17973
2024-07-21T22:00:00+00:00,19749,19794.75,19727.25,19790.75,10495
2024-07-21T23:00:00+00:00,19790.75,19842,19789.5,19817,10049
2024-07-22T00:00:00+00:00,19816.75,19824,19766.5,19811,7174
2024-07-22T01:00:00+00:00,19810.25,19813.25,19733.75,19745.75,8583
2024-07-22T02:00:00+00:00,19746,19767.5,19718.75,19753.25,6713
2024-07-22T03:00:00+00:00,19753.5,19799.5,19751.25,19777.25,5633
2024-07-22T04:00:00+00:00,19778,19804.25,19740.75,19801.25,4390
2024-07-22T05:00:00+00:00,19800.25,19808.25,19778,19788.25,3357
2024-07-22T06:00:00+00:00,19787.5,19825.75,19764,19816.25,6949
2024-07-22T07:00:00+00:00,19816.5,19838,19758,19823.75,9761
2024-07-22T08:00:00+00:00,19823,19841,19807,19815.25,7674
2024-07-22T09:00:00+00:00,19815.5,19852.5,19809.25,19846.5,6061
2024-07-22T10:00:00+00:00,19846.25,19891,19837.75,19889.75,10336
2024-07-22T11:00:00+00:00,19890,19899.25,19866.25,19897.5,9032
2024-07-22T12:00:00+00:00,19897.25,19931,19892.5,19912.75,13356
2024-07-22T13:00:00+00:00,19912.25,20026.75,19882.75,19970.5,105869
2024-07-22T14:00:00+00:00,19970.25,20018.75,19895,19954.25,107264
2024-07-22T15:00:00+00:00,19954.75,19998,19809.75,19865.25,93591
2024-07-22T16:00:00+00:00,19865.25,19973.25,19835.5,19961.5,53613
2024-07-22T17:00:00+00:00,19961.5,20016.25,19957.5,19999.5,44346
2024-07-22T18:00:00+00:00,20000,20044.75,19992.5,20011,37715
2024-07-22T19:00:00+00:00,20011.25,20032.5,19979.25,19998.25,66362
2024-07-22T20:00:00+00:00,19998,20012.75,19964.5,19980.75,16836
2024-07-22T22:00:00+00:00,19982,19998.25,19973,19986.5,4315
2024-07-22T23:00:00+00:00,19986.25,19988,19953.25,19954.75,4274
2024-07-23T00:00:00+00:00,19955.25,19966.5,19925,19937.25,5512
2024-07-23T01:00:00+00:00,19938,19968.75,19933,19955,4128
